response_id,session_id,learning_objective_id,learning_objective
aaaavsh,bcaufvc,dqibnvd,Knowing the value of each digit in numbers with up to 2 decimal places.
aaabhzi,eyutanf,eukmzxl,Adding and subtracting tens to a 2-digit number. 
aaahpnz,juptkxd,fjbqcsv,Comparing and ordering fractions by finding a common denominator.
aaajpom,ntwkcfj,acvbcev,Comparing fractions using reasoning.
aaamwux,jqriibm,krfuudx,Counting in multiples.
aaaqjzc,iykbtex,ikpmfhw,Seeing fractions as numbers. 
aabgafx,nbsxtoc,invpjcq,"Comparing acute, obtuse and reflex angles."
aabieaa,jetyiwh,kccejva,Multiplying using short multiplication.
aabjsyx,ivrevge,khgykop,"Ordering numbers up to 1,000,000."
aabmjvr,arhtxbe,hrpfpoj,Using fact families to multiply and divide.
aabntfo,mzsafba,igpwxvo,Simplifying and Collecting Like Terms
aabvzin,avnssis,folqlut,Comparing numbers with up to 2 decimal places using money.
aabwokq,myycnii,acvbcev,Comparing fractions using reasoning.
aabzawe,mcqftus,mflvjfv,Using known facts to find factors.
aacifva,hptuwfv,cjlaygb,Estimating the position of tenths and hundredths on a number line.
aacjczp,hnvmxfa,htatwwa,Knowing that 10 tens are equal to 100. 
aacltie,jevektn,hjfghwb,"Knowing the value of each digit in numbers up to 1,000,000."
aacqnhu,gtrychj,ctagocd,Comparing and ordering simple fractions.
aacttul,ggnvsxn,kccejva,Multiplying using short multiplication.
aaddhly,ebrzbfl,folqlut,Comparing numbers with up to 2 decimal places using money.
aadvrba,npxeeej,cpfyoqp,Drawing and Interpreting Scatter Graphs
aaebact,nldvobi,lddighw,"Comparing numbers up to 10,000."
aaehkpy,ipcxprq,hqsyvyo,Probability Scales
aaeklij,ltjljjm,bvaxfzg,Adding and subtracting fractions with different denominators.
aaewtax,dtivaau,iswyqvs,Using multiplication and division facts up to 12 x 12.
aafgnec,aaaedit,gbamvgm,Adding money using the column method.
aafhtin,ktwndyi,klriafb,Dividing using short division.
aafikkk,helfqvs,ittdkew,Finding equivalent fractions.
aafxzxg,bzmprzy,lvzqzmo,Solving problems involving conversions between metric measures.
aafzucs,nmqcsta,aisoxgv,Using known facts to work out other multiplication facts. 
