response_id,is_correct
aaaavsh,1.0
aaabhzi,1.0
aaahpnz,0.0
aaajpom,0.0
aaamwux,0.0
aaaqjzc,1.0
aabgafx,0.0
aabieaa,0.0
aabjsyx,1.0
aabmjvr,1.0
aabntfo,1.0
aabvzin,1.0
aabwokq,1.0
aabzawe,1.0
aacifva,0.0
aacjczp,1.0
aacltie,1.0
aacqnhu,1.0
aacttul,0.0
aaddhly,1.0
aadvrba,1.0
aaebact,1.0
aaehkpy,1.0
aaeklij,1.0
aaewtax,1.0
aafgnec,0.0
aafhtin,1.0
aafikkk,1.0
aafxzxg,1.0
aafzucs,1.0
aagkqqy,0.0
aagsofv,1.0
aahcqnx,1.0
aahdxdb,1.0
aahffag,0.0
aahthmo,1.0
aaiirat,1.0
aaijeok,1.0
aaiqfgr,1.0
aaiqmhg,0.0
aajleka,1.0
aajmguz,0.0
aajmroe,0.0
aajtpxm,1.0
aakauug,1.0
aakcqra,1.0
aakdipi,0.0
aakvypm,1.0
aaleshm,1.0
aalfsnh,1.0
aalhliv,1.0
aamlpas,1.0
aamrjjb,1.0
aamrlwo,1.0
aandbbh,1.0
aangvmc,0.0
aanlqdn,1.0
aannhbf,1.0
aanoztz,1.0
aanrsvp,1.0
aaobxyz,1.0
aaogjzv,1.0
aaohxte,0.0
aaokqno,1.0
aaopfpo,1.0
aaplrvo,1.0
aapyxey,0.0
aaqdqiy,0.0
aaqefgy,0.0
aaqehuc,1.0
aaqgdaq,1.0
aaqrdpb,1.0
aaqtcwj,1.0
aassend,1.0
aatazxp,0.0
aathldy,0.0
aatkxyy,1.0
aatylnl,1.0
aaufceq,0.0
aauhgdy,1.0
aauhrbt,1.0
aauuyur,1.0
aavclrl,1.0
aavhnhf,1.0
aavnpwv,1.0
aavrbzh,1.0
aavvkra,1.0
aavvvki,1.0
aavwymb,1.0
aawdlnn,0.0
aawgvtx,1.0
aawlofv,1.0
aawnywe,1.0
aawpjyr,1.0
aawrgxa,1.0
aawvfml,0.0
aawyvta,1.0
aaxdfhw,0.0
aaybcdo,1.0
aayfunc,1.0
aaytvjo,1.0
aazklrt,1.0
aazkuqa,1.0
aazshav,1.0
abaplha,1.0
abbcrpe,0.0
abbnifs,0.0
abchtlx,1.0
abcszcl,1.0
abejotp,1.0
abeqkmg,1.0
abfpkuw,1.0
abfvnzf,0.0
abggxsx,1.0
abgjzrj,1.0
abhrqpj,1.0
abijnyn,0.0
abiogsq,0.0
abitsox,1.0
abjytue,1.0
abkucfd,0.0
ablafqg,1.0
ablcwxf,0.0
ablndjn,1.0
abmnhca,0.0
abmqumm,1.0
abmuzvq,0.0
abmyzxb,1.0
abnvxgi,1.0
abobrtv,1.0
abpfnrt,1.0
abpgwyr,1.0
abptfxt,0.0
abptgey,0.0
abqanuz,0.0
abqderf,1.0
abqetqx,0.0
abqupgo,1.0
abruomv,0.0
abrwotp,1.0
absgytx,1.0
absxgoi,0.0
absywro,0.0
abtmcbl,1.0
abtyzbf,1.0
abujzxs,0.0
abuyavo,1.0
abuybci,0.0
abvgjqs,1.0
abvpyvd,1.0
abvqmfm,0.0
abwzfax,1.0
abwztde,0.0
abxyqfp,1.0
abxzemt,1.0
abybuzw,1.0
abysdoc,1.0
abzhfka,1.0
abzxpqt,1.0
acajnct,1.0
acaknzh,1.0
acapgdw,1.0
acbcrud,1.0
acbdagv,1.0
acbeguz,0.0
acbkkoe,1.0
acboqas,0.0
acbuemi,1.0
accakgx,0.0
accikpn,1.0
accqdrv,1.0
acctxft,1.0
acczdgl,0.0
acczebt,1.0
aceadwp,0.0
aceuxfn,1.0
acfhvpq,1.0
acfjzut,1.0
acfrvmr,1.0
acfzqws,1.0
acgaypt,1.0
achlvmz,0.0
achqfqp,1.0
achtbeh,1.0
achtgez,1.0
acidzug,1.0
acitzbs,1.0
aciyvei,1.0
acjagrg,0.0
acjaord,1.0
acjnrta,1.0
ackhlbo,1.0
ackyguj,1.0
ackyzvk,0.0
aclcyxw,0.0
aclojrx,1.0
aclxwty,0.0
acmbqrg,1.0
acmdups,1.0
acnaqin,1.0
acnnepq,1.0
acnpeit,1.0
acoezzb,0.0
acomhxw,1.0
acotlpc,1.0
acoypbs,1.0
acpgcbi,1.0
acpkacg,0.0
acpmldo,1.0
acpsazs,1.0
acpxqqe,1.0
acpzqtb,1.0
acqkkkq,0.0
acqleot,1.0
acquggy,1.0
acrbyyh,1.0
acrgwjh,1.0
acrhvlh,1.0
acrjhax,0.0
acrlngj,0.0
actccho,1.0
actlmdy,0.0
actphrk,1.0
actqttk,1.0
actxjrp,1.0
acuobhj,1.0
acupxpe,1.0
acuqznt,0.0
acurquc,0.0
acutdxp,0.0
acuunuu,1.0
acvbxqk,1.0
acvmmow,1.0
acvqwrk,1.0
acvsujs,1.0
acwjbfa,1.0
acwjmfb,1.0
acwugrj,1.0
acwxots,0.0
acxesri,1.0
acxkttr,0.0
acxvtdv,1.0
acykihz,1.0
acysxoz,1.0
acytzwe,1.0
acywuqy,0.0
acyyker,1.0
adagnmv,0.0
adaltdb,1.0
adamwyw,1.0
adapsvx,1.0
adayhjx,0.0
adbbrys,1.0
adbrrtj,1.0
adchlah,0.0
adclabx,1.0
adcskjb,1.0
addedoj,1.0
addijqk,1.0
addoqkr,1.0
addrtro,0.0
addsehj,0.0
addxdyu,1.0
adenjxa,1.0
adenorf,0.0
adeonqs,1.0
adeqfig,0.0
adeyjif,1.0
adeytmc,1.0
adezksv,0.0
adfbeec,1.0
adfkivh,0.0
adfsvvq,1.0
adgdvpy,1.0
adgejmo,1.0
adggnni,1.0
adghvfr,1.0
adgrfmi,0.0
adgutay,0.0
adgxcbz,0.0
adheusj,0.0
adhfljx,0.0
adhfzdb,0.0
adhjujm,0.0
adhktfn,1.0
adhpwjb,0.0
adhqdua,1.0
adhswrw,0.0
adhvixz,0.0
adhwzkm,0.0
aditscs,1.0
adjtuaw,1.0
adjwieo,1.0
adkilio,0.0
adkjawp,0.0
adkjnpc,1.0
adkkegc,0.0
adkpeal,1.0
adllbxl,1.0
adlpjwx,0.0
adlvlfk,1.0
admkukl,1.0
admnayy,1.0
adnpmej,1.0
adnsjvi,1.0
adntybt,0.0
adnytmg,1.0
adodkje,1.0
adofkzd,0.0
adopfmm,0.0
adorrjg,0.0
adpinff,1.0
adpjjiq,1.0
adppbmi,1.0
adptggd,0.0
adpyhbz,1.0
adqobfd,1.0
adqypyr,1.0
adrboit,1.0
adrgmck,1.0
adrvcpw,1.0
adsfnth,1.0
adsjxqi,1.0
adsnlbs,1.0
adsqfkd,1.0
adsznwb,1.0
adtpdwh,1.0
adtrbak,1.0
aduazce,1.0
aduikww,1.0
adukzgb,1.0
advcmgu,1.0
advdmrk,1.0
advjvgp,0.0
advmhkz,1.0
advqlwp,1.0
advqvvu,0.0
advubap,0.0
advyaio,0.0
adwgubq,1.0
adwwvqu,0.0
adxrvhu,0.0
adxsnwu,1.0
adxsopd,1.0
adxydej,1.0
adyflya,1.0
adyhffb,0.0
adynpya,1.0
adyrlak,0.0
adysvos,0.0
adytpdi,0.0
adzamze,1.0
adzcieu,0.0
adzdgbz,1.0
adznpzr,0.0
adzpbpq,1.0
adzqtxx,1.0
adzvanz,1.0
adzvsgp,1.0
aeaucrf,1.0
aeawoaj,1.0
aeayuuy,1.0
aeayyeq,1.0
aebesdl,1.0
aebgpln,1.0
aebjfri,1.0
aebkjgd,0.0
aebrxlz,0.0
aebujjm,1.0
aebwsfl,1.0
aecbytq,1.0
aecdlzq,1.0
aecenln,1.0
aecgalj,0.0
aecsxhz,1.0
aedaach,0.0
aeddodp,1.0
