iter	Logloss
0	0.6835328618
1	0.6742946597
2	0.665698794
3	0.657390383
4	0.6496354519
5	0.6430327288
6	0.636507525
7	0.630640086
8	0.6250237876
9	0.6199210428
10	0.6152885705
11	0.6104517986
12	0.6059402497
13	0.6020623336
14	0.5984029113
15	0.594740957
16	0.5914755996
17	0.5884206375
18	0.5854865481
19	0.582814149
20	0.5803206564
21	0.577646565
22	0.5752446634
23	0.5730337447
24	0.5709868995
25	0.569074155
26	0.5672166853
27	0.5653847191
28	0.5637105904
29	0.5620730171
30	0.5606216647
31	0.5592163395
32	0.557840517
33	0.556786166
34	0.5557257492
35	0.5548131421
36	0.5538514779
37	0.552905646
38	0.5520044466
39	0.5511017723
40	0.5502468611
41	0.5493875552
42	0.5488237535
43	0.5482434293
44	0.547673789
45	0.546997274
46	0.546418519
47	0.5458460077
48	0.5453128621
49	0.5447787026
50	0.5442754443
51	0.5437662653
52	0.5433362424
53	0.5429319321
54	0.5424108651
55	0.5419744496
56	0.5416802166
57	0.541383566
58	0.5410357614
59	0.5408074108
60	0.5404829725
61	0.5402160664
62	0.5398993884
63	0.5396692893
64	0.5394767199
65	0.53923869
66	0.5389886523
67	0.5387667995
68	0.5385292514
69	0.5383480839
70	0.5381528502
71	0.5379603356
72	0.5377533992
73	0.5375978347
74	0.537478367
75	0.5373318865
76	0.537203348
77	0.5370770912
78	0.5369878529
79	0.5368466853
80	0.5367159551
81	0.5365778428
82	0.5364542168
83	0.5363302812
84	0.5362170026
85	0.5361010476
86	0.5359698817
87	0.5359096347
88	0.5357820602
89	0.5356586394
90	0.5355166881
91	0.5354214144
92	0.5352866144
93	0.5351830481
94	0.5350927545
95	0.5349961448
96	0.5349098952
97	0.534833606
98	0.5347465146
99	0.534672211
100	0.5345644039
101	0.5344909203
102	0.5344070539
103	0.5343294217
104	0.5342801269
105	0.5342033646
106	0.5341127158
107	0.5340366509
108	0.533974762
109	0.5339166209
110	0.5338676397
111	0.5338228843
112	0.5337802467
113	0.533670515
114	0.5336082694
115	0.5335547216
116	0.533513926
117	0.5334780179
118	0.5333771177
119	0.5332617168
120	0.5331852716
121	0.5331613911
122	0.5331312952
123	0.5330237654
124	0.5329779639
125	0.5329304499
126	0.5328824517
127	0.532773851
128	0.5327509262
129	0.5327127122
130	0.5326733781
131	0.5326403852
132	0.5325924752
133	0.5325515895
134	0.5325403786
135	0.5325189552
136	0.5324709136
137	0.532407083
138	0.5323493995
139	0.5323204678
140	0.5322865106
141	0.5322613135
142	0.5322273017
143	0.5321967089
144	0.5321604693
145	0.5320899726
146	0.5320531839
147	0.5320009074
148	0.531953964
149	0.5319272435
150	0.5318976395
151	0.5318696852
152	0.5317279395
153	0.5317107277
154	0.5316767429
155	0.5316400295
156	0.5316227407
157	0.5315884
158	0.5315264449
159	0.5315044061
160	0.5314767013
161	0.5314573569
162	0.5314358078
163	0.5313896794
164	0.5313654293
165	0.5313183652
166	0.5312856206
167	0.5312681806
168	0.5312431274
