iter	Passed	Remaining
0	15	18330
1	28	17361
2	41	16613
3	54	16338
4	69	16725
5	82	16468
6	94	16185
7	106	15909
8	119	15876
9	132	15787
10	144	15667
11	156	15535
12	170	15544
13	183	15525
14	196	15546
15	208	15458
16	221	15385
17	234	15372
18	248	15433
19	261	15404
20	272	15306
21	285	15288
22	297	15224
23	309	15180
24	323	15205
25	336	15172
26	349	15167
27	361	15142
28	373	15094
29	385	15029
30	398	15021
31	410	15001
32	425	15030
33	436	14968
34	448	14919
35	461	14925
36	477	14999
37	489	14972
38	500	14895
39	513	14892
40	525	14864
41	538	14843
42	553	14889
43	566	14873
44	582	14940
45	596	14971
46	610	14982
47	625	15006
48	638	14995
49	651	14987
50	665	14985
51	679	14991
52	691	14975
53	706	14995
54	720	14995
55	733	14975
56	745	14942
57	757	14910
58	770	14899
59	783	14878
60	795	14848
61	807	14816
62	818	14768
63	830	14734
64	841	14689
65	853	14657
66	867	14673
67	879	14641
68	891	14613
69	903	14581
70	915	14552
71	927	14531
72	939	14505
73	951	14477
74	963	14446
75	974	14417
76	986	14388
77	998	14362
78	1010	14342
79	1022	14310
80	1034	14286
81	1048	14298
82	1062	14297
83	1075	14287
84	1087	14265
85	1099	14244
86	1113	14250
87	1128	14265
88	1143	14269
89	1157	14270
90	1170	14270
91	1184	14259
92	1198	14263
93	1212	14269
94	1227	14280
95	1242	14293
96	1257	14303
97	1271	14292
98	1289	14336
99	1306	14368
100	1320	14373
101	1333	14359
102	1347	14355
103	1362	14355
104	1375	14347
105	1391	14358
106	1408	14391
107	1424	14401
108	1439	14411
109	1454	14410
110	1471	14436
111	1488	14459
112	1506	14489
113	1521	14497
114	1542	14550
115	1565	14628
116	1585	14672
117	1603	14702
118	1623	14747
119	1639	14759
120	1656	14772
121	1671	14768
122	1687	14778
123	1702	14770
124	1717	14771
125	1731	14762
126	1744	14737
127	1757	14720
128	1771	14710
129	1786	14701
130	1800	14693
131	1813	14673
132	1826	14654
133	1840	14641
134	1853	14621
135	1936	15146
136	1955	15172
137	1980	15243
138	1994	15222
139	2007	15199
140	2020	15174
141	2033	15154
142	2048	15138
143	2062	15126
144	2076	15109
145	2090	15089
146	2105	15081
147	2118	15055
148	2131	15035
149	2145	15018
150	2159	14998
151	2171	14973
152	2185	14955
153	2197	14923
154	2209	14897
155	2222	14872
156	2233	14839
157	2246	14814
158	2258	14788
159	2271	14765
160	2283	14738
161	2296	14711
162	2308	14687
163	2321	14667
164	2333	14639
165	2346	14614
166	2359	14595
167	2373	14580
168	2387	14565
